Site;X;Y;CellName;AZIMUT
S08341;231026;541797;G083411;162
S08341;231026;541797;G083412;252
S08341;231026;541797;G083413;342
S08343;227656;489764;G083431;60
S08343;227656;489764;G083432;160
S08343;227656;489764;G083433;330
S08346;217607;488490;G083461;70
S08346;217607;488490;G083462;180
S08346;217607;488490;G083463;300
S08349;194488;469842;G083491;90
S08349;194488;469842;G083492;210
S08349;194488;469842;G083493;330
S08353;239302;497800;G083531;30
S08353;239302;497800;G083532;200
S08353;239302;497800;G083533;290
S08358;117983;489009;G083581;0
S08358;117983;489009;G083582;20
S08358;117983;489009;G083583;40
S08359;135903;455374;G083591;0
S08359;135903;455374;G083592;20
S08359;135903;455374;G083593;40
S08362;165662;450367;G083621;80
S08362;165662;450367;G083622;180
S08362;165662;450367;G083623;280
S08365;132250;460978;G083651;120
S08365;132250;460978;G083652;240
S08365;132250;460978;G083653;0
S08369;64615;440546;G083691;90
S08369;64615;440546;G083692;180
