Site;X;Y;CellName;AZIMUT
S07461;190105;313876;G074612;180
S07461;190105;313876;G074613;300
S07464;115024;397909;G074641;40
S07464;115024;397909;G074642;160
S07464;115024;397909;G074643;290
S07477;169210;480939;G074771;90
S07477;169210;480939;G074772;210
S07477;169210;480939;G074773;330
S07478;157653;576995;G074781;120
S07478;157653;576995;G074782;240
S07478;157653;576995;G074783;0
S07479;117752;489246;G074791;0
S07479;117752;489246;G074792;20
S07482;82241;455416;G074821;0
S07485;214626;563697;G074851;60
S07485;214626;563697;G074852;180
S07485;214626;563697;G074853;300
S07486;202149;363958;G074861;80
S07486;202149;363958;G074862;200
S07486;202149;363958;G074863;320
S07488;199413;599581;G074881;30
S07488;199413;599581;G074882;150
S07488;199413;599581;G074883;270
S07492;241325;568190;G074921;120
S07492;241325;568190;G074922;240
S07492;241325;568190;G074923;0
S07499;201383;586694;G074991;30
S07499;201383;586694;G074992;150
S07499;201383;586694;G074993;270
S07503;258282;573866;G075031;60
S07503;258282;573866;G075032;180
S07503;258282;573866;G075033;300
S07504;218954;570735;G075041;130
S07504;218954;570735;G075042;250
S07504;218954;570735;G075043;10
S07505;92270;426647;G075051;60
S07505;92270;426647;G075052;180
S07505;92270;426647;G075053;300
S07506;118952;438609;G075061;120
S07506;118952;438609;G075062;270
S07506;118952;438609;G075063;10
S07510;120329;485502;G075101;60
S07510;120329;485502;G075102;180
S07510;120329;485502;G075103;300
S07512;124281;479679;G075121;60
S07512;124281;479679;G075122;180
S07512;124281;479679;G075123;300
S07514;198538;318809;G075141;0
S07520;231182;594330;G075201;90
S07520;231182;594330;G075202;210
S07520;231182;594330;G075203;330
S07521;243929;603872;G075211;60
S07521;243929;603872;G075212;180
S07521;243929;603872;G075213;300
S07522;240584;603489;G075221;90
S07522;240584;603489;G075222;210
S07522;240584;603489;G075223;330
S07526;225597;601873;G075261;60
S07526;225597;601873;G075262;180
S07526;225597;601873;G075263;300
S07529;124689;480913;G075291;0
S07529;124689;480913;G075292;20
S07529;124689;480913;G075293;40
S07530;124718;480856;G075301;0
S07530;124718;480856;G075302;20
S07530;124718;480856;G075303;40
S07531;124753;480800;G075311;0
S07531;124753;480800;G075312;20
S07531;124753;480800;G075313;40
S07532;124737;480737;G075321;0
S07532;124737;480737;G075322;20
S07532;124737;480737;G075323;40
S07533;124702;480707;G075331;0
S07533;124702;480707;G075332;20
S07545;266102;573506;G075451;60
S07545;266102;573506;G075452;180
S07545;266102;573506;G075453;300
S07554;195663;592111;G075541;50
S07554;195663;592111;G075542;180
S07554;195663;592111;G075543;300
S07555;87987;434245;G075551;60
S07555;87987;434245;G075552;180
